Year,Revenue,OperatingProfit,NetProfit,MarketingCosts,Assets,Equity,North_America_Pct,Europe_Pct,Asia_Pct,Poland_Pct,Other_Pct
2017,463184.0,240940.0,200270.0,110673.0,981513.0,882899.0,0.755,0.115,0.093,0.033,0.004
2018,362901.0,112392.0,109334.0,107183.0,1126838.0,1002864.0,0.755,0.115,0.093,0.033,0.004
2019,521272.0,180286.0,175315.0,125341.0,1404108.0,1105651.0,0.755,0.115,0.093,0.033,0.004
2020,2138875.0,1157077.0,1154327.0,408016.0,2894478.0,2187356.0,0.755,0.115,0.093,0.033,0.004
2021,888172.0,232903.0,208908.0,299225.0,2158735.0,1894356.0,0.755,0.115,0.093,0.033,0.004
2022,952576.0,377347.0,347093.0,222350.0,2274124.0,,0.755,0.115,0.093,0.033,0.004
2023,1230199.0,469040.0,481105.0,243796.0,2613438.0,,0.755,0.115,0.093,0.033,0.004
2024,985030.0,365496.0,469874.0,135368.0,3042424.0,2955628.0,0.755,0.115,0.093,0.033,0.004
2025,866989.0,470648.0,520869.0,119214.0,3503320.0,3503320.0,0.755,0.115,0.093,0.033,0.004
